Titre,Développeur,Note,Téléchargements,Catégorie,Description
Duolingo  Cours de Langue,Duolingo,4.5,500000000,Enseignement,"Apprends une langue avec lappli denseignement la plus téléchargée au monde ! Duolingo est une appli fun et gratuite pour apprendre  de 40 langues avec des leçons courtes et interactives. Entraînetoi à parler, écouter, lire et écrire la langue pour enrichir ton vocabulaire et te familiariser avec les points de grammaire.

Conçue par des experts linguistiques et plébiscitée par des centaines de millions de personnes dans le monde, lappli Duolingo te prépare à avoir de vraies conversations en espagnol, en français, en chinois, en italien, en allemand, en anglais, et bien plus.

Que tu souhaites apprendre une langue pour voyager, pour progresser dans tes études ou dans ta carrière, pour communiquer avec tes proches ou pour stimuler ton cerveau, une chose est sûre  tu vas adorer apprendre avec Duolingo.

Pourquoi Duolingo ?

 Duolingo est fun et efficace. Nos leçons ludiques et nos personnages hauts en couleur taident à mieux parler, écouter, lire et écrire la langue.

 Duolingo, ça marche. Conçue par des experts linguistiques, lappli Duolingo sappuie sur une méthodologie denseignement à lefficacité prouvée pour favoriser la mémorisation à long terme.

 Suis tes progrès. Progresse vers tes objectifs et décroche des récompenses et des succès en prenant lhabitude de tentraîner chaque jour !

 Rejoins  de 500 millions de passionnés. Participe aux Ligues pour réveiller ton esprit de compétition et apprendre au sein dune communauté qui ne connaît pas de frontières.

 Tous nos cours sont gratuits. Apprends lespagnol, langlais, lallemand, litalien, le russe, le portugais, le turc, le néerlandais, lirlandais, le danois, le suédois, lukrainien, lespéranto, le polonais, le grec, le hongrois, le norvégien, lhébreu, le gallois, larabe, le latin, lhawaïen, lécossais gaélique, le vietnamien, le coréen, le japonais, le français, et même le haut valyrien !

Ce que le monde pense de Duolingo  

Le choix de la rédaction et  Le meilleur du meilleur   Google Play

 De loin, la meilleure application gratuite pour apprendre une langue.   The Wall Street Journal

 Cette appli et ce site gratuits figurent parmi les méthodes de langue les plus efficaces que jai pu essayer Chaque leçon présente de petits exercices pour parler la langue, traduire des phrases ou répondre à des questions à choix multiples. Et jen redemande.   The New York Times

 Duolingo détient peutêtre le secret du futur de lenseignement.   TIME Magazine

  Duolingo est divertissant, léger et fun   Forbes

Si tu aimes Duolingo, essaie Super Duolingo gratuitement pendant 14 jours ! Apprends une langue plus vite sans les pubs et profite davantages exclusifs comme les Vies illimitées et un Réparesérie par mois.

Pour toute remarque, écrisnous à androidduolingo.com

Utilise Duolingo sur le web en te rendant sur httpswww.duolingo.com

Politique de confidentialité  httpswww.duolingo.comprivacy"
PRONOTE,Index Education,1.7,10000000,Enseignement,"PRONOTE est le lien direct et sécurisé entre létablissement scolaire et les élèves, les parents et les professeurs 
 emploi du temps en temps réel,
 devoirs à faire dans le cahier de textes,
 ressources et forums pédagogiques,
 résultats sous forme de notes etou de compétences,
 absences et justificatifs,
 casier numérique pour les documents à télécharger,
 actualités de létablissement,
 sondages et informations,
 messagerie contextuelle sécurisée,
 bulletins des années précédentes,
 fiche brevet,
 orientation et stage,
 et plus encore
Mais contrairement à ce que laissent penser les avis, PRONOTE nest pas un jeu vidéo 

INSTALLATION DE VOTRE COMPTE PERSONNEL
Après avoir téléchargé cette app, nous vous conseillons de scanner le QR code que vous avez reçu de votre établissement scolaire ou que vous pouvez trouver dans votre compte, si vous vous êtes déjà connecté à votre Espace Web.
Contactez votre établissement scolaire si vous avez des problèmes de connexion.

ASSISTANCE UTILISATEUR
Trouvez toutes les réponses à vos questions dans notre base de connaissances modes demploi, tutoriels en vidéo, questions les plus fréquemment posées, sur notre site www.indexeducation.com"
PictureThis Plante Identifier,Glority Global Group Ltd.,4.4,50000000,Enseignement,"PictureThis est votre expert personnel en plantes dans la poche. Que vous soyez un jardinier expérimenté ou un nouvel amateur de plantes, PictureThis rend lidentification et lentretien des plantes plus faciles et accessibles. 

CARACTÉRISTIQUES PRINCIPALES 
Identification précise des plantes
Reconnue comme la meilleure application didentification des plantes, PictureThis offre une précision et une convivialité inégalées ce qui rend particulièrement facile lidentification des plantes. Identifiez plus de 400 000 espèces de plantes avec une précision supérieure à 98 . Vous vous demandez le nom dune belle plante que vous avez vue lors dune promenade ? Prenez simplement une photo et laissez PictureThis faire le reste ! 

Diagnostic automatique et traitement des maladies des plantes
Prenez une photo dune plante malade, et PictureThis diagnostiquera la maladie et offrira des conseils de traitement. Cest comme avoir un docteur pour vos plantes à portée de main ! Votre plante dintérieur préférée a développé des taches brunes sur ses feuilles. Prenez une photo avec PictureThis, et en quelques secondes, recevez un diagnostic et un plan de traitement étape par étape pour retrouver une plante en bonne santé.

Plans dentretien personnalisé
Besoin de conseils sur la façon de prendre soin de vos plantes ? PictureThis fournit des instructions dentretien détaillées, y compris la fréquence darrosage, le moment de les fertiliser et les meilleures conditions de lumière afin que votre plante prospère.

Avertissement de plantes toxiques
Identifiez les plantes toxiques et recevez des avertissements pour garder vos animaux de compagnie, les enfants et votre famille en toute sécurité. Vous ramenez une nouvelle plante à la maison mais vous ne savez pas si elle est sans danger pour vos animaux de compagnie. PictureThis vous alertera si la plante est toxique et fournira des directives en matière de sécurité pour protéger vos proches.

Identification des mauvaises herbes
Identifiez facilement les mauvaises herbes dans votre jardin et profitez de conseils sur la façon de les contrôler ou de les éliminer. Si vous remarquez une nouvelle plante qui pousse dans vos jardinières et soupçonnez quil pourrait sagir dune mauvaise herbe, prenez une photo avec PictureThis pour confirmer son identité et recevoir des conseils sur la façon de la gérer efficacement.

Suivi et rappel darrosage
Ne manquez plus jamais larrosage de vos plantes grâce à des notifications. Votre emploi du temps chargé rend difficile de vous rappeler quand arroser vos plantes ? PictureThis vous envoie des rappels pour que vous puissiez garder vos plantes hydratées et en bonne santé sans avoir à y penser.

Suivi de lexposition à la lumière
Suivez la quantité de lumière du soleil que reçoit votre plante avec notre photomètre pour vous assurer quelle reçoit la bonne quantité de lumière. Vous vous inquiétez que votre plante dintérieur ne reçoive pas assez de lumière. Utilisez le photomètre de PictureThis pour vérifier son exposition et ajuster sa position pour une croissance optimale.

Gérez votre collection de plantes
Suivez toutes les plantes que vous identifiez et créez votre propre liste de plantes. Créez votre jardin personnel avec PictureThis. 

Consultation dexperts
Vous avez des questions liées aux plantes ? Discutez avec nos experts professionnels 24h24 et 7j7 pour profiter de conseils et dastuces personnalisés adaptés à vos besoins spécifiques en jardinage.

Rejoignez PictureThis dès aujourdhui et bénéficiez dune meilleure expérience en matière de jardinage ! Développez vos connaissances, identifiez les plantes et prenezen soin avec nous. Rendons le monde plus vert, plante après plante.

RETROUVEZ NOUS SUR
Facebook.comPictureThisAI
Twitter.comPictureThisAI
Instagram.comPictureThisAI"
Kahoot!  Jouecrée des quiz,Kahoot!,4.7,50000000,Enseignement,"Jouez à des jeux passionnants à base de quiz kahoots à lécole, à la maison et au travail, créez vos propres kahoots et apprenez quelque chose de nouveau ! Kahoot! apporte la magie de lapprentissage aux étudiants, aux enseignants, aux superhéros des bureaux, aux fans de quiz et aux apprenants tout au long de leur vie.
 
Voici ce que vous pouvez faire avec lappli Kahoot! 
 
Étudiants
 Rejoignez les kahoots hébergés en direct en présentiel ou en virtuel et utilisez lappli pour soumettre vos réponses
 Effectuez des défis à votre rythme
 Étudiez à la maison ou en déplacement à laide de Flashcards et dautres modes détude
 Mesurezvous à vos amis dans le cadre des ligues détude
 Lancez des défis à vos amis avec les kahoots que vous trouvez ou créez
 Créez vos propres kahoots et ajoutezy des images ou vidéos
 Hébergez des kahoots en direct pour votre famille et vos amis directement depuis votre appareil mobile
 
Familles et amis
 Trouvez un kahoot sur nimporte quel sujet et pour tous les âges
 Hébergez un kahoot en direct en projetant sur grand écran ou en partageant votre écran via des applis de vidéoconférence
 Faites participer vos enfants dans le cadre de lécole à domicile
 Envoyez un défi Kahoot! à vos amis ou aux membres de votre famille
 Créez vos propres kahoots et ajoutezy différents types de questions et effets dimage
 
Enseignants
 Recherchez des kahoots parmi des millions de propositions prêtes à lemploi sur nimporte quel sujet
 Créez ou modifiez vos propres kahoots en quelques minutes
 Combinez différents types de questions pour accroître lengagement
 Hébergez des kahoots en direct ou virtuellement pour lapprentissage à distance
 Affectez des défis au rythme de lélève pour les examens de contenu
 Évaluez les résultats dapprentissage au moyen de rapports
 
Employés de lentreprise
 Créez des kahoots pour lapprentissage électronique, les présentations, les événements et dautres occasions
 Encouragez la participation du public à laide de sondages et de questions sous forme de nuages de mots
 Hébergez des kahoots en direct en personne ou dans le cadre dune réunion virtuelle
 Affectez des défis au rythme de lélève, par exemple pour lapprentissage électronique
 Évaluez les progrès et les résultats au moyen de rapports
 
Fonctionnalités premium 
 Kahoot!  est gratuit pour les enseignants et leurs étudiants, et nous nous engageons à préserver sa gratuité dans le cadre de notre mission  jouer à apprendre. Nous offrons des mises à jour facultatives qui permettent dactiver des fonctionnalités avancées, telles quune bibliothèque dimages comportant des millions dimages et des types de questions sophistiqués tels que des puzzles, des sondages, des questions ouvertes et des diapositives. Pour bénéficier de ces fonctionnalités, les utilisateurs doivent souscrire un abonnement payant.
 
Pour créer et héberger des kahoots dans un contexte professionnel ainsi que pour avoir accès à des fonctionnalités supplémentaires, les utilisateurs entreprise doivent souscrire un abonnement payant.
 
Facturation récurrente, annulation à tout moment
 
Politique de confidentialité  httpskahoot.comprivacy
Conditions Générales  httpskahoot.comterms"
Gauth Aide aux devoirs en IA,GauthTech Pte. Ltd.,4.7,50000000,Enseignement,"Propulsé par lIA, Gauth est un outil daide aux devoirs pratique avec précision. Prenez une photo et regardez notre IA résoudre vos problèmes complexes en mathématiques, chimie et autres. Grâce à un large réseau dexperts en direct, Gauth offre également une assistance professionnelle à tout moment et en tout lieu. Essayez Gauth pour tous vos devoirs!

Caractéristiques principales 
 DES RÉPONSES PRÉCISES, ÉTAPE PAR ÉTAPE
Comparé aux autres aides aux devoirs, Gauth est plus rapide et plus précis pour résoudre les problème de devoirs, en particulier avec le support de Gauth AI Pro.

 MAÎTRISER TOUTES LES MATIÈRES, TOUS LES NIVEAUX
Audelà des questions de mathématiques, Gauth peut désormais résoudre les problèmes de tous les niveaux en physique, chimie, biologie et bien plus encore. 

 DE VRAIS EXPERTS PRÊTS À VOUS AIDER 247
En tant que solutionneur de devoirs solide et ingénieux, nous avons des experts professionnels et des experts dévoués prêts à vous aider 247 dans de nombreuses matières, y compris les mathématiques, la physique, la chimie et la biologie. Tous les experts sont disponibles pour résoudre vos problèmes à tout moment et de nimporte où, en vous offrant des explications claires et étape par étape.
Avec Gauth, vous pouvez facilement comprendre et maîtriser les différentes matières.

 FACILE À UTILISER, LES DEVOIRS SONT COOLS
Prenez simplement une photo de votre problème, Gauth la reconnaîtra et cadrera votre question automatiquement. Après lavoir téléchargée, nos experts vous fourniront des solutions en quelques secondes avec des réponses et des explications bien formulées. Avec Gauth, nous souhaitons que vous puissiez trouver vos devoirs amusants et faciles à comprendre !

 MATIÈRES COUVERTES
Mathématiques
Biologie
Physique
Chimie
Autres

 SUJETS MATHÉMATIQUES COUVERTS
Problèmes mathématiques sous forme de mots
Algèbre  Nombre Réel  Arithmétique  Théorie des ensembles  Expression  Logarithme  Nombre Complexe
Fonction  Linéaire  Quadratique  Polynomiale  Exponentielle  Rationnelle  Logarithmique  Fonction inverse
Géométrie Géométrie Plan et solide  Algèbre et lignes  Lignes et plans dans lespace  Transformation
Trigonométrie  Rapports Trigonométriques  Loi des Sinus  Loi des Cosinus  Propriétés Réciproques
Calcul  Dérivées  Intégrales  Limites  Le problème mathématique de la tangente et de laire
Statistiques et analyse des données Probabilité  Représentation des données  Distribution de PoissonNormale
Matrice  Algèbre Matricielle  Système Déquations Linéaires et Matrices
Logique  Raisonnement et Preuve

 Vous voulez améliorer votre apprentissage ? Avec Gauth Plus, vous obtiendrez 
Des réponses et explications illimitées dans la banque de questions
Obtenir laide dexperts qualifiés
Une priorité dans la résolution des problèmes pendant les heures de pointe
Aucune publicité
Réductions pour tous les achats

Conditions dutilisation httpsh5.gauthmath.comterms
Politique de confidentialité httpsh5.gauthmath.compolicy

RESTEZ CONNECTÉ
Tiktok  www.tiktok.comgauthofficial
Site web  www.gauthmath.com
Courriel  supportgauthmath.com"
Praktika Apprendre des langues,Praktika.ai Company,4.6,10000000,Enseignement,"Plongezvous dans une expérience révolutionnaire dapprentissage de langlais, de lespagnol, du japonais, du coréen, du français, du portugais, du portugais brésilien, de litalien et de lallemand ?

Découvrez Praktika et rencontrez vos avatars IA ultraréalistes  vos compagnons linguistiques personnels pour maîtriser la conversation dans le monde réel.

Les avatars de Praktika ne sont pas de simples personnages numériques  ils ont des histoires complètes, une richesse culturelle et des accents naturels américain, britannique, latinoaméricain, etc. pour simuler une interaction véritablement humaine. Chaque session avec votre avatar donne limpression de parler à une vraie personne qui vous écoute, vous guide et vous aide à progresser.

Questce qui rend Praktika différent ?
Contrairement aux autres applications linguistiques basées sur la mémorisation et la répétition, Praktika rend lacquisition dune langue naturelle. Vous nétudiez pas simplement  vous engagez une conversation. Vous écoutez, vous parlez et vous répondez comme dans la vraie vie. Nos avatars vous permettent de pratiquer sans crainte du jugement ou déchanges maladroits.

Nous avons également ajouté la multimodalité, un outil dapprentissage nouvelle génération qui vous permet de téléverser et dinteragir avec du contenu réel. Partagez des photos, des audios, des vidéos ou des documents pour lancer des conversations ou recevoir des corrections. Utilisez une image de votre environnement pour pratiquer du vocabulaire, ou téléchargez votre CV pour recevoir un coaching de prononciation instantané pour vos entretiens dembauche. 

Tarification simple
Praktika est gratuit au téléchargement et très facile à démarrer. Débloquez des outils de conversation puissants, des retours avancés et des leçons dirigées par avatar  le tout pour moins cher quune seule séance de tutorat.

Ce que vous obtenez 
Avatars IA  Apprenez par des conversations naturelles avec des avatars qui sadaptent à votre ton, votre rythme et vos objectifs.

Cours pour tous les niveaux  Plus de 1000 leçons incluant préparation académique IELTS, TOEFL, style de vie, voyage, carrière et argot.

Sujets de conversation pratiques  Jeux de rôle comme commentateur sportif, fondateur de startup ou touriste.

Apprentissage multimodal  Téléversez des photos, des PDF et des mémos vocaux pour des leçons personnalisées.

Suivi de la fluidité  Suivez vos progrès avec des métriques orales, des séries et des défis dans lapplication.

Avatars localisés  Choisissez des coachs de différentes régions selon vos préférences culturelles ou daccent.

Rencontrez quelques avatars 
Alisha  Tutrice danglais US amicale, diplômée de Stanford, inclusive et motivante.

Alejandro  Tuteur hispanoanglophone de Barcelone, sportif et accessible.

Marco  Rédacteur américain, idéal pour le ton professionnel et la préparation aux entretiens.

Charlie  Passionné de culture britannique, vif et spirituel.

Valentina  Tutrice mexicaine despagnol, aime la musique, la danse et les conversations chaleureuses.

Lucía  Tutrice douce basée en Espagne, parfaite pour un ton littéraire ou académique.

Exemples de sujets 
IELTS  TOEFL  Architecture  Art  Entreprise  Marques automobiles  Cinéma  Cuisine  Croissance économique  Éducation  Problèmes environnementaux  Festivals  Film  Alimentation  Football  Géographie  Santé  Histoire  Immigration  Influenceurs  Littérature  Musique  Merveilles naturelles  Culture pop  Relations  Startups  Science  Shopping  Street Art  Technologie  Séries TV  Tourisme  UFC  Faune et bien dautres ajoutés chaque mois.

Langues disponibles 
Anglais
Coréen
Japonais
Espagnol
Français
Portugais
Portugais Brésilien
Italien
Allemand

Support  supportpraktika.ai
Conditions  httpspraktika.aiterms
Confidentialité  httpspraktika.aiprivacy"
Babbel Apprenez une langue,Babbel,4.5,50000000,Enseignement,"Rejoignez des millions dutilisateurs qui apprennent avec Babbel, lapplication dapprentissage des langues basée sur des conversations réelles. Grâce à des méthodes variées incluant des cours interactifs, un coach de prononciation basé sur lIA, des podcasts, des jeux et plus, Babbel vous fait parler dès le 1er jour. Apprenez chaque jour, à tout moment, et de nimporte où.

Choisissez parmi 14 langues disponibles 
langlais   lespagnol   litalien   lallemand   le portugais   le russe   le polonais   le turc   le norvégien   le danois   le suédois   le néerlandais   lindonésien   le français 

Grâce à des leçons surmesure conçues par des experts, Babbel vous aide à apprendre une langue pour parler anglais avec confiance.

Babbel, ça marche ! 
 En seulement 10 minjour, vous pouvez apprendre une langue à laide dune routine efficace.
 92  des apprenants Babbel ont progressé en 2 mois. 
 Rejoignez une communauté de 10 millions dapprenants !
Avec Babbel, vous progresserez vers votre objectif final  apprendre une langue et avoir des conversations réelles.



Fonctionnalités
 Découvrez des leçons interactives et des classes en ligne pour tous les niveaux, de débutant à avancé.
 Entraînezvous à la conversation grâce à la fonction Conversations du quotidien pour parler comme dans la vie réelle.
 Fixez vos objectifs, suivez vos progrès avec le traqueur dactivités et utilisez la fonction Séries pour vous motiver.
 Maîtrisez la grammaire grâce à des cours clairs et des exemples pertinents.
 Révisez et retenez le vocabulaire en parlant, écrivant, écoutant ou avec des cartes mémos.
 Écoutez des podcasts en déplacement pour découvrir des anecdotes linguistiques et des perspectives culturelles nouvelles.
 Entraînezvous à parler anglais en milieu professionnel ou développez vos compétences pour apprendre lespagnol des affaires.
 Perfectionnez votre prononciation avec le coach de prononciation basé sur lIA.
 Variez votre apprentissage et entraînez votre vocabulaire avec des jeux divertissants.
 Explorez la richesse linguistique et culturelle avec le Babbel Magazine, offrant articles, interviews et guides pratiques.

Nos experts pour apprendre les langues adaptent chaque leçon à votre langue maternelle. Que vous souhaitiez apprendre lespagnol, litalien, apprendre langlais, lallemand ou même apprendre le français, le russe, le polonais ou apprendre le turc, mais aussi apprendre le portugais, le norvégien, le danois, le suédois, le néerlandais ou lindonésien  vous ferez des progrès rapides et efficaces.

Abonnements
Pour accéder à lensemble du contenu, un abonnement Babbel est nécessaire. Les abonnements se renouvellent automatiquement, sauf annulation 24 heures avant la fin de la période en cours. Gérez votre abonnement dans votre compte Google Play Store.

Besoin daide ? Contacteznous à supportbabbel.com

Politique de confidentialité  httpswww.babbel.comlegalprivacy 
Conditions dutilisation  httpswww.babbel.comlegalterms

Vous cherchez une application efficace pour apprendre les langues comme lallemand, litalien, apprendre langlais, le portugais, apprendre lespagnol ou même apprendre le français ? Peutêtre souhaitezvous apprendre le russe, le turc pour les vacances, prendre des cours de polonais, apprendre le français pour le travail, parler anglais couramment ou apprendre le portugais ? Des millions dapprenants ont choisi Babbel pour apprendre une langue.

Téléchargez Babbel maintenant et commencez à apprendre langlais, lespagnol, lallemand ou litalien."
Knowunity Tuteur scolaire IA.,Knowunity,4.6,10000000,Enseignement,"Knowunity SchoolGPT, cest VOUS. Des groupes de révisions avec des amis. Réponses aux devoirs. Fiches de révision des meilleurs élèves. Des cartes mémos et des quiz GRATUITS. Révise moins, mais mieux. 

Les maths te posent problème ? Lappli de révisions Knowunity est là pour toi. Des quiz en histoire? ça aussi 

Des fiches de révision sur toutes les matières. De meilleures notes pour ta moyenne, ton bac ou ton brevet. Apprendre avec des amis. Tout cela sur Knowunity!

Plus de 11 millions délèves veulent taider dans tes devoirs!

 FICHES DE RÉVISIONS DANS TOUTES LES MATIÈRES

Les élèves de ta classe ne veulent pas te refiler leurs fiches? Sur Knowunity, tu as accès aux fiches des meilleurs élèves dans toutes les matières, tu peux même en poster toimême et aider les autres avec tes connaissances!

 DES GROUPES DE RÉVISIONS

On est tous dans le même bateau, alors pourquoi ne pas sentraider? Sur Knowunity, tu peux rejoindre des milliers délèves sur des groupes de révision pour tes matières à problème. Tu peux te confier sur ce qui te stresse à lécole, échanger des conseils, ou encore créer un groupe de révision et construire ta propre communauté.

 APPRENDRE MOINS, MAIS MIEUX

Tu tes perdu.e dans ce cours sur les équations pour le brevet ? Tu cherches dautres élèves en spé Physique pour le bac? Des élèves qui étudient la même chose que toi peuvent taider. Passe moins de temps à apprendre ou à faire tes devoirs grâce à des fiches et des cartes mémos toutes faites!

TOUTES LES MATIÈRES du collège au lycée

Maths. SVT. Physique. Français. Histoire. Histoire. Géométrie. Des fiches de révision sur toutes les matières du collège et du lycée, pour ton bac et ton brevet. Tu choisis le sujet, et des élèves sont là pour taider!

 RÉPONSES AUX DEVOIRS

Le but des devoirs, cest dapprendre, pas de souffrir! Prends une photo et obtiens des explications rapidement. Lassistant IA de Knowunity te guide, et tu peux demander de laide à la communauté dapprentissage super active.

 DES QUIZZ ET CARTES MÉMOS gratuits

Tu ne sais même pas par où commencer pour réviser ton interro de maths ? Il te suffit dindiquer la matière et tu trouveras plein de cartes mémos et quizz pour tentraîner. Tu nes toujours pas sûr.e ? Demande dans un groupe de révisions ou à lIA de te donner des conseils.

 KNOWUNITY EST TON APPLI DAPPRENTISSAGE POUR TES EXAMS, TES DEVOIRS, TA COMMUNAUTÉ!

 RÉVISE Á TA FAÇON



 AIDE LES AUTRES

Ajoute tes fiches de révision, tes quiz ou tes cartes mémo!
Développe ton profil Knowunity pour fédérer une communauté délèves
Aide des milliers délèves à saméliorer à lécole



FONCTIONNALITÉS PRINCIPALES 
Fiches de révision
Cartes mémos  Quiz
Groupes de révision

FONCTIONNALITÉS IA POUR LÉCOLE  
Scanner IA SchoolGPT
Assistant IA SchoolGPT
Chat IA SchoolGPT
Tuteur IA SchoolGPT



Découvre ce que nos utilisateurs disent de lapplication détude de Knowunity
Jadore cette appli car il y a plein de fiches de révisions pour toutes les matièresquon aie des difficultés ou non, on peut linstaller et ça nous donne du courage, franchement cest top! Louna, 16

Je conseille très fortement, application très utile durant les périodes dexamen ou autres choses importantes Xavier 17



NOUS SOMMES DE VRAIES PERSONNES et nous voulons ce quil y a de mieux pour vous. A la fois en vrai et sur lappli. Tu peux envoyer un message à une vraie personne qui saura comment taider à supportfrknowunity.com.
TOS  httpsknowunity.frlegaltos"
Stellarium  Carte du ciel,Noctua Software,4.8,10000000,Enseignement,"Stellarium Mobile  Carte des étoiles est une application de planétarium qui montre exactement ce que vous voyez lorsque vous regardez les étoiles.

Identifiez étoiles, constellations, planètes, comètes, satellites comme lISS et autres objets du ciel profond en temps réel dans le ciel audessus de vous en quelques secondes, simplement en pointant le téléphone vers le ciel!

Cette application dastronomie possède une interface utilisateur simple à utiliser et minimaliste, ce qui en fait lune des meilleures applications astronomiques pour les adultes et les enfants qui souhaitent explorer le ciel nocturne.

Fonctionnalités de Stellarium Mobile

 Visualisez une simulation précise du ciel étoilé et des planètes à nimporte quelle date, heure et lieu.

 Plongez dans une grande collection détoiles, nébuleuses, galaxies, amas détoiles et autres objets du ciel profond.

 Zoomez sur des images réalistes de la Voie Lactée et des objets du ciel profond.

 Découvrez comment les gens vivant dans dautres régions de la planète voient les étoiles en sélectionnant les lignes et les illustrations des constellations pour de nombreuses cultures du ciel.

 Suivez les satellites artificiels, y compris la Station spatiale internationale.

 Simulez le paysage et latmosphère avec des levers et couchers de soleil réalistes incluant la simulation de la refraction atmosphérique.

 Découvrez le rendu 3D des principales planètes du système solaire et de leurs satellites.

 Observez le ciel en mode nuit rouge pour préserver ladaptation de vos yeux à lobscurité.

Stellarium Mobile contient des achats intégrés permettant de passer à Stellarium Plus. Avec cette mise à niveau, lapplication affichera des objets aussi faibles que la magnitude 22 contre la magnitude 8 dans la version de base et activera des fonctionnalités dobservation avancées.

Fonctionnalités de Stellarium Plus déverrouillées lors de lachat via lapplication

 Atteignez les limites de la connaissance en plongeant dans une énorme collection détoiles, de nébuleuses, de galaxies, damas détoiles et dautres objets du ciel profond
   Toutes les étoiles connues catalogue Gaia DR2 de plus de 1,69 milliard détoiles
   Toutes les planètes, comètes et satellites naturels connus ainsi que de nombreux autres objets mineurs du système solaire 10k astéroïdes
   Objets du ciel profond les plus connus un catalogue combiné de plus de 2 millions de nébuleuses et de galaxies

 Zoomez presque sans limites sur des images haute résolution dobjets du ciel profond ou de surfaces planétaires.

 Observez sur le terrain, même sans connexion Internet, avec un ensemble de données réduit 2 millions détoiles, 2 millions dobjets Deep Sky, 10 000 astéroïdes.

 Contrôlez votre télescope via Bluetooth ou WIFI pilotez nimporte quel télescope GOTO compatible avec les protocoles NexStar, SynScan ou LX200.

 Préparez vos séances dobservation à laide des outils dobservation avancés, pour prédire lobservabilité et les temps de transit dun objet céleste.

Stellarium Mobile  Carte des Etoiles est faite par le créateur original de Stellarium, le célèbre planétarium open source et lune des meilleures applications dastronomie sur PC."
