Titre,Développeur,Note,Téléchargements,Catégorie,Description
Quizlet  apprendre avec lIA,Quizlet Inc.,4.5,50000000,Enseignement,"Bienvenue dans une nouvelle ère dapprentissage optimisé par lIA avec Quizlet. Plongezvous dans tous les sujets imaginables  faites votre choix parmi plus de 700 millions de listes de cartes mémo flashcards numériques, ou créez les vôtres. La meilleure des plateformes dapprentissage désormais assistée par lintelligence artificielle, Quizlet propose des quiz et des tests dentraînement, des solutions aux devoirs maison rédigées par des experts et des outils dapprentissage innovants guidés par lIA.Rejoignez une communauté de plus de 300 millions dapprenants qui ont amélioré leurs notes et atteint leurs objectifs grâce à Quizlet.

Avec lappli Quizlet, étudiants et enseignants peuvent 
 télécharger des notes de cours pour générer des flashcards, des tests dentraînement et des sujets de dissertation grâce aux Notes magiques 
 créer des listes de flashcards ou faire une recherche parmi des millions de flashcards créées par dautres étudiants et enseignants 
 transformer des flashcards en évaluations formatives ou en jeux interactifs 
 utiliser les modes Apprendre et Test pour transformer des flashcards en quiz et en tests dentraînement  
 mémoriser du contenu sur le long terme grâce à la technique de la répétition espacée 
 venir à bout des devoirs maison les plus difficiles à laide de solutions rédigées par des experts. 

Téléchargez lappli aujourdhui et rejoignez une communauté de plus de 300 millions dapprenants dans le monde entier. 
Abonnezvous à Quizlet Plus et obtenez un accès illimité à laide aux devoirs, aux modes détude personnalisés, le tout sans aucune publicité intempestive.

Ce que nos étudiants disent quand ils laissent des commentaires à cinq étoiles 

 La meilleure appli dapprentissage au monde ! 
 La seule application que jutilise quand jai besoin détudier sérieusement. 
 Quizlet est de loin la meilleure appli pour étudier que jaie utilisée. Elle offre plein de façons différentes de se préparer aux examens à venir ! 

Les abonnements à Quizlet Plus sont débités de votre compte Google Play.

Votre abonnement mensuel ou annuel se renouvellera automatiquement sauf si vous le résiliez au moins 24 heures avant la fin de la période actuelle dabonnement. Vous pouvez gérer votre abonnement dans les paramètres de votre compte après achat. 

Conditions dutilisation  httpsquizlet.comtos
Politique de confidentialité  httpsquizlet.comprivacy"
Brevet Bac Sup Primaire 2026,Nomad Education,4.3,5000000,Enseignement,"RÉUSSITE 20252026

 Brevet 2026, Bac 2026, examens, concours, partiels  lapp ULTIME utilisée par 10 millions délèves pour exploser ta moyenne cette année !

 NEW  NomadIA te crée tes révisions 100 personnalisées prend ton cours en photo, et on te crée tous tes contenus sur mesure  tu vas assurer !

 Primaire, Collège, Lycée et Etudes Sup
 Cours synthétiques et quiz dans toutes les matières
 Gagne des points de moyenne 
 Gagne du temps en révisant efficacement
 Reste motivé.e toute lannée

Lapplication préférée des élèves et étudiants Francophones.

 10 MILLIONS DELEVES accompagnés
 3 POINTS DE MOYENNE gagnés
 1 APP, 400 DIPLOMES

  Contenu 100 réalisé par 300 professeurs de lÉducation Nationale.

  Tout pour réussir ton année et ta scolarité 
 de 20 000 minicours et fiches de révisions
 de 120 000 QCM corrigés
 Ton coach te motive ! Direction les 3 points de moyenne statistiques de progression, moyenne générale, objectif de révision...
 Toutes les matières au programme maths, français, SVT, physique chimie, philo, histoiregéo, anglais, allemand, italien, espagnol...

  PROFILS INCLUS  
 PRIMAIRE  CP, CE1, CE2, CM1, CM2 quiz ludiques, remise à niveau
 COLLÈGE  6ème, 5ème, 4ème et 3ème contenus de préparation au Brevet 2025 !
 LYCÉE  Seconde Générale et Technologique, STHR, Seconde Professionnelle 
Première générale, professionnelle et ses 12 spécialités, technologiques STI2D, STL, STD2A, ST2S, STMG, STHR, STAV
Terminales générale, professionnelle et technologique BAC STI2D, STL, STD2A, ST2S, STMG, STHR, STAV
 Tous les CAP 200 spécialités
 BTS, 1ère et 2ème années 84 BTS disponibles  BTS MCOMUC, BTS NDRC, BTS SAM, BTS CI, BTS CG, BTS GPME, BTS MHR
 DUT  BUT, 1ère et 2ème années 24 DUT  BUT disponibles  GACO, GEA, Informatique, Technique de Commercialisation, GEII
 DCG, 12 UE
 24 LICENCES  Licence Droit, Licence Psycho, Licence ÉcoGestion AES, Licence STAPS, Licence Histoire, Licence PhysiqueChimie, Licence Maths, Licence LEA, Licence SVT, Licence Infocom, Licence Histoire de lArt  Archéologie, Licence Pro, Licence Socio, Licence Informatique, Licence Sciences Sociales, Licence Sciences pour la Santé, Licence Géographie et Aménagement, Licence Sciences de lEducation, Licence Lettres, Licence Sciences du Langage, Licence Philo, Licence Art du Spectacle, Licence LLCER Espagnol, Licence LLCER Anglais...
 PRÉPAS  
Prépa Ingénieurs Maths Sup Maths Spé  MPSI, MP2I, PCSI, PTSI, BCPST, TPC, MP, PC, PSI, PT, TB, TSI, ATS 
Prépa Commerce  ECS, ECE, ECG et ECT
Prépa Littéraire  Hypokhâgne et Khâgne
 PASS  LAS  réussir médecine 
 IFSI, DEI et concours infirmiers et paramédicaux
 DN MADE
...

ORIENTATION
Tout pour faire les bons choix pour ton avenir 
 Test dOrientation pour trouver les études et métiers qui te correspondent
 Découverte des écoles par thème vidéo, engagements, témoignages détudiants, débouchés
 Découverte des Métiers et des Secteurs
 Découverte des Diplômes du Supérieur et des cursus 350 diplômes du Sup disponibles dans lapp

NOMAD, POUR ALLER PLUS LOIN DANS LA REUSSITE 

 Pack MENTION BREVET 
 Oral du Brevet  décryptage épreuve, conseils et module dautoévaluation en vidéo avec sujets tests
 Annales du Brevet corrigées
 100 Fiches PDF imprimables LES ESSENTIELS DU BREVET 2025 dans toutes les matières

 Pack MENTION BAC 
 Annales du Bac corrigées
 Epreuves Spécialités  des fiches sur les 13 spécialités du Bac 2026 
 Bac Philo  sujets et tests
 Bac Français  épreuves et préparation 
 150 Fiches PDF imprimables LES ESSENTIELS DU BAC 2026 sur tout ce quil faut retenir pour réussir
 PARCOURSUP 2026  fiches conseils de candidature et découverte des parcours Post Bac 
 Grand Oral du Bac  décryptage, conseils et module dautoévaluation

Cest la meilleure app de révision ! Ce que jadore cest les cours qui résument les trucs intéressants et les quiz pour se tester"
Busuu  Apprendre une langue,Busuu,4.6,50000000,Enseignement,"Cours despagnol, anglais, arabe, français, japonais, portugais, allemand, néerlandais, italien, russe, turc, chinois, polonais et coréen. Choisis parmi nos 14 cours de langue!

Apprendre à parler une langue et rejoins plus de 120 millions dutilisateurs ! Apprends facilement langlais, lespagnol larabe, le français ou lune des 10 autres langues disponibles. Fais de réels progrès, du niveau débutant A1 au niveau intermédiaire avancé B2.  

Apprendre langlais
Apprends langlais et deviens bilingue grâce à nos cours en ligne préparés sur mesure. Langlais naura plus aucun secret pour toi !

Apprendre le français
Tu veux progresser à loral ? Nos cours de français sont faits pour toi.

Apprendre lespagnol
Parle espagnol comme un pro avec nos leçons de grammaire, et notre cours axé sur les voyages.

Apprendre larabe
Progresse plus rapidement grâce à nos leçons conçues par des experts linguistiques. La langue arabe ne sera plus un mystère !

Pourquoi choisir Busuu ?

Des cours adaptés à tes besoins
Tu veux apprendre langlais pour lécole, lespagnol pour les vacances, ou le français pour le travail ? Choisis parmi nos cours de langue à thèmes !

Des cours de langue primés, créés par des experts
Parle en arabe en toute confiance grâce à nos leçons conçues par des experts linguistiques

Du niveau débutant au niveau intermédiaire avancé
Tu souhaites apprendre le japonais ? Notre cours de japonais débutant est fait pour toi. Tu as déjà des bases en portugais ? Commence au niveau suivant.

Rejoins notre communauté
Avec plus de 120 millions de locuteurs natifs, faistoi des amis et améliore tes compétences orales en allemand, néerlandais, italien ou dans dautres langues.

Amusetoi et débute ton apprentissage en anglais, espagnol, arabe, français, japonais, portugais, allemand, néerlandais, italien, russe, turc, chinois, polonais ou coréen.

Fonctionnalités 

Échange avec un locuteur natif
Tu as besoin de texercer à parler en anglais, espagnol, arabe ? Cette fonctionnalité te permet de discuter avec un natif.

Organise ton apprentissage grâce au Plan détudes
Tu veux optimiser ton apprentissage du français, du japonais, du portugais, de lallemand ou dune autre langue ? Grâce au Plan détudes, adapte tes leçons à ton emploi du temps !

Révisions de vocabulaire
Booste ton apprentissage du turc, du chinois, du polonais du coréen  ou de nimporte quelle autre langue

Jeux de grammaire
Que tu apprennes langlais ou le japonais, la grammaire risque de te poser problème. Avec notre outil de révision intelligente, assimile rapidement les points de grammaire.

Apprends quand tu veux
Télécharge nos ressources dapprentissage pour langlais, le japonais ou le français.

Busuu est la meilleure appli dapprentissage de langues selon Google et bien dautres

 Appli choisie par léquipe de Google Play

  22 heures sur Busuu équivalent à 1 semestre universitaire , selon une étude récente

Besoin daide ?
On te répond en 15 langues  anglais, français, espagnol, italien, portugais, allemand, polonais, russe, turc, arabe, chinois, japonais, coréen, vietnamien et indonésien."
Learna AIApprenez des langues,Deep Flow Apps,4.5,10000000,Enseignement,"Bienvenue sur lapplication Learna AI Language Tutor, votre solution toutenun pour maîtriser la langue anglaise ! Apprenez langlais avec des exercices de grammaire, de conversation, de lecture, de prononciation et de vocabulaire.

Un parcours dapprentissage linguistique qui va audelà des méthodes traditionnelles. Notre application est conçue pour sadapter aux apprenants de tous niveaux, des débutants souhaitant établir une base solide aux apprenants avancés cherchant à perfectionner leurs compétences.

Les pratiques et leçons danglais sont guidées par notre personnage virtuel de chat avec Learna AI, prêt à fournir des corrections amicales pour toute erreur en cours de route. Cette approche innovante améliore non seulement les compétences linguistiques, mais crée également un environnement de soutien et engageant pour que les utilisateurs puissent affiner confortablement leur maîtrise de langlais. Lexpérience de chat virtuel ajoute une dimension unique et dynamique à lapprentissage des langues, le rendant à la fois efficace et agréable pour les apprenants de tous niveaux.

Caractéristiques de Learna AI Language Tutor 

Pratique de conversation en anglais avec un personnage virtuel de chat avec Learna AI
Recevez des commentaires de Learna AI sur vos erreurs
Apprenez la grammaire anglaise
Améliorez vos compétences en lecture en anglais
Enrichissez votre vocabulaire anglais
Vérification de lorthographe
Perfectionnez votre prononciation anglaise
Améliorez vos compétences en anglais parlé grâce à des exercices interactifs et pratiques
Suivez vos progrès avec des métriques de performance détaillées et des étapes clés. Fixez des objectifs, surveillez vos réalisations et célébrez vos succès tout au long du parcours. Facilitez votre apprentissage de langlais !

Instagram httpswww.instagram.comlearna.ai"
AnkiDroid Cartes mémoire,AnkiDroid Open Source Team,4.8,10000000,Enseignement,"Mémorisez nimporte quoi avec AnkiDroid !

AnkiDroid vous permet dapprendre des cartes mémoires très efficacement en vous les montrant juste avant que ne les oubliez. Entièrement compatible avec le logiciel de répétition espacée Anki incluant la synchronisation, qui est disponible pour Windows, Linux et MacOS.

Révisez toutes sortes de choses partout et chaque fois que vous le souhaitez. Faites bon usage des temps morts pendant les voyages en train ou en bus, lattente aux caisses des supermarchés ou tout autre situation dattente !

Créez vos propres paquets de cartes à mémoriser ou téléchargez des paquets gratuits pour de nombreuses langues et sujets plus de 6 000 disponibles.

Ajoutez des cartes par le biais de lapplication Anki pour ordinateur ou directement avec AnkiDroid. Lapplication prend même en charge lajout de cartes automatiquement à partir dun dictionnaire !

 Principales caractéristiques 
 contenu des cartes pris en charge texte, images, sons, LaTeX
 répétition espacée algorithme supermemo 2
 intégration de la synthèse vocale
 plus de 6000 paquets de cartes téléchargeables
 widget progression
 statistiques détaillées
 synchronisation avec AnkiWeb
 open source

 Fonctionnalités supplémentaires
 écrire les réponses en option
 tableau blanc
 éditeur de cartes
 navigateur de cartes
 présentation pour tablettes
 import des collections existantes via Anki Desktop
 intégration des dictionnaires ColorDict, GoldenDict, Leo.org, Aedict, divers dictionnaires web
 ajout de cartes par licône de partage depuis dautres applications comme des dictionnaires
 prise en charge de polices personnalisées
 système de sauvegarde 
Navigation par gestes
Personalisable
 gestion des paquets dynamiques
 mode nuit
 27 localisations
 Toutes les versions précédentes dAnkiDroid peuvent être téléchargées à partir du site Web. Attention, les versions 1.x sont obsolètes et ne sont plus compatible avec Anki 2.x."
HelloTalk Apprendre la langue,HelloTalk Learn Languages App,3.5,10000000,Enseignement,"Pratiquez des langues avec des locuteurs natifs sur HelloTalk ! Nous avons récemment introduit HelloTalk En direct et Salle de chat  des événements linguistiques et culturels interactifs pour vous aider à maîtriser les langues à travers le contenu que vous aimez ! 

HelloTalk, lapplication originale déchange linguistique, vous met en relation avec des locuteurs natifs pour pratiquer les langues anglais, japonais, coréen, espagnol, français, chinois mandarin, portugais, allemand, italien, russe, arabe, turc, hindi, indonésien, thaï, vietnamien et plus de 160 autres GRATUITEMENT !

Pourquoi choisir HelloTalk ?

 Une véritable ambiance dapprentissage des langues
Que vous vous concentriez sur une langue largement répandue ou sur une langue moins courante, HelloTalk répond à vos besoins. Le système vous associe intelligemment en fonction de votre langue maternelle et de votre niveau, tout en vous permettant de filtrer les partenaires linguistiques idéaux selon divers critères tels que lâge, le lieu et le sexe. De plus, grâce aux outils intégrés de traduction et de translittération, vous pouvez communiquer en toute confiance sans aucune barrière linguistique.

 Un outil puissant pour aiguiser vos compétences linguistiques
Lacquisition de nouveaux mots au travers de conversations avec des locuteurs natifs est plus efficace que la mémorisation rigide. Que vous soyez un étudiant qui se prépare pour des examens tels que le CET, GRE, TOEFL, IELTS, envisageant des études à létranger, ou un professionnel cherchant à évoluer dans sa carrière grâce à des compétences linguistiques, HelloTalk vous propose des locuteurs natifs correspondant à votre niveau de compétence pour des interactions captivantes et des expériences dapprentissage précieuses.

 Salles de chat linguistiques immersives pour plusieurs personnes
Si vous décidez dapprendre langlais, par exemple, chaque salle de chat dans laquelle vous entrez sur HelloTalk rassemble des apprenants de langlais et des locuteurs natifs anglais du monde entier pour discuter de sujets intéressants. Ici, seule votre voix a besoin dêtre entendue, créant une atmosphère confortable et adaptée aux personnes introverties. Ici, partager des intérêts communs permet à chacun de sexprimer librement et de partager des expériences personnelles, favorisant à la fois lintuition linguistique et des compétences dexpression authentique. Cest incroyablement addictif !

 Différents événements en direct internationaux
HelloTalk sélectionne et présente des hôtes de langues étrangères qui proposent des cours vidéo en ligne, partagent des perspectives linguistiques et offrent un aperçu de leur vie à létranger. Vous pouvez même les rejoindre sur scène pour des conversations vidéo en têteàtête avec dautres apprenants de langues. Que vous ayez des difficultés avec la prononciation, la vitesse de parole ou la timidité, ces hôtes vous aideront à affiner vos compétences linguistiques et à guider la conversation. Pour une amélioration rapide de la langue parlée, rien ne remplace la communication directe avec des locuteurs natifs !

 Moments Internationaux
Les Moments de HelloTalk proposent des publications en temps réel couvrant lapprentissage, le style de vie et les perspectives culturelles du monde entier. Cest votre billet pour découvrir de nouvelles perspectives et acquérir une compréhension plus profonde des coutumes culturelles diverses, tout cela depuis le confort de votre domicile. Noubliez pas dinteragir avec les publications qui suscitent votre intérêt !

COMMENCEZ À PRATIQUER LES LANGUES IMMÉDIATEMENT !!! 

En savoir plus sur lapplication HelloTalk 
 Facebook  httpswww.facebook.comHellotalk
 Twitter  httpstwitter.comhellotalkapp

Envoyez tout retour à supporthellotalk.com
 Politique de confidentialité  httpswww.hellotalk.comprivacypolicy
 Conditions dutilisation  httpswww.hellotalk.comtermsofservice"
Speak English with Loora AI,Loora AI,4.7,5000000,Enseignement,"Loora est votre coach personnel danglais basé sur lIA.
Il est toujours disponible pour vous permettre de pratiquer des conversations en anglais aussi vraies que nature.
Avec Loora, parler anglais devient facile grâce à des sessions basées sur la conversation, accessibles 24h24, tous les jours.
Les leçons sont personnalisées avec un retour en temps réel sur la grammaire, la prononciation et la fluidité.



Les avantages dapprendre avec Loora 
 Disponible 24h24 et 7j7, Loora ne dort jamais.
 Loora sadapte à votre emploi du temps. Discutez seulement 5 minutes par jour ou lancezvous dans un monologue complet à minuit.
 Un environnement bienveillant et sans jugement est toujours garanti, car la plus grande erreur que vous puissiez faire est davoir peur den faire une.
 Traduction en temps réel et reconnaissance vocale pour améliorer votre expérience dapprentissage. Obtenez un retour immédiat sur votre prononciation et votre grammaire.
 Suivez vos progrès pour améliorer votre score quotidien de fluidité en anglais. Perfectionnez votre prononciation et votre accent en dépassant vos objectifs hebdomadaires.
 Des conversations personnalisées à votre niveau, sur des sujets pertinents qui touchent à votre vie.



À propos de léquipe 
Nous pensons que chacun mérite davoir lopportunité de parler anglais couramment, et aujourdhui, cest possible grâce à lIA.
Cest pourquoi nous avons réuni une équipe de chercheurs de pointe en IA conversationnelle et de passionnés de lapprentissage des langues pour travailler ensemble à la création de Loora. Leur objectif était de vous offrir le coach danglais basé sur lIA le plus dynamique.



Vous avez des questions ou besoin daide ? Contacteznous à supportloora.ai.

Pour en savoir plus sur nos conditions générales,  consultez les liens suivants 

Conditions dutilisation  httpsloora.comTermsandConditions

Politique de confidentialité  httpsloora.comPrivacyPolicy



Suiveznous sur les réseaux sociaux pour des conseils en anglais 

 Instagram  httpswww.instagram.comloora.ai?hlen

 Facebook  httpswww.facebook.comLooraA.I



Venez découvrir lavenir de lapprentissage de langlais !"
Speak  Apprenez langlais,Speakeasy Labs,4.6,5000000,Enseignement,"Vous luttez toujours avec votre expression orale bien que vous ayez étudié langlais pendant longtemps?


Vous avez des scores élevés au TOEIC mais vous ne pouvez pas maintenir une conversation avec un locuteur natif pendant plus de 3 minutes?


La vérité simple est que la plupart des gens ne parviennent tout simplement pas à bien parler anglais.


Le problème est que nous navons jamais eu loccasion de pratiquer la conversation car nous nous sommes uniquement concentrés sur la grammaire et les examens.


Speak est une application qui vous aide à vous sentir plus à laise en parlant anglais à haute voix en vous permettant de vous exercer à parler plus que toute autre méthode existante.


Le processus de Speak est simple


1. Vous présente langlais réel qui est essentiel pour les conversations quotidiennes en anglais
2. Vous fait prononcer des variations de chaque phrase tellement de fois que vous le dites sans y penser
3. Simule des situations réelles où vous lutiliseriez réellement


Chaque fois que vous utilisez Speak, vous parlerez beaucoup  et lapplication sera toujours à lécoute et vous donnera des retours pour sassurer que vous corrigez les erreurs.


Tout comme si vous appreniez à nager, vous iriez dans une piscine au lieu de lire un livre sur la natation, si vous voulez devenir bon en anglais, vous allez devoir commencer à parler réellement et le faire tous les jours! Speak rend cela réaliste.


Si vous avez des commentaires ou des questions, veuillez nous contacter à feedbackusespeak.com.


ABONNEMENT SPEAK


Speak propose des abonnements renouvelables automatiquement mensuels et annuels. Devenez membre de Speak pour bénéficier dun accès illimité à tous les cours, simples, matériel de révision et autres contenus de Speak.


Labonnement sera renouvelé automatiquement sauf si désactivé dans les paramètres de votre compte Google Play au moins 24 heures avant la fin de la période en cours. Vous pouvez accéder aux paramètres de votre compte Google Play pour gérer votre abonnement et désactiver le renouvellement automatique. Votre compte Google Play sera débité lors de la confirmation de lachat. Si vous vous abonnez avant la fin de votre essai gratuit, le reste de votre période dessai gratuit sera perdu dès que votre achat sera confirmé.


Conditions de service httpsusespeak.comtos
Politique de confidentialité httpsusespeak.comprivacy"
Star Walk 2 PlusGuide du Ciel,Vito Technology,4.6,10000000,Enseignement,"Trouvez et identifiez des étoiles en temps réel.

Navezvous jamais observé le ciel en vous demandant pourquoi cette étoile brille tellement ce soir ? Grâce à Star Walk, tout ce que vous avez à faire est de pointer votre téléphone vers le ciel et des milliers détoiles, de satellites et de comètes seront à votre portée.

Des données astronomiques et la toute dernière technologie sont réunies en une seule et superbe app qui vous fait découvrir le ciel audessus de vous selon votre emplacement et votre fuseau horaire.

Star Walk 2 Plus dans lindustrie du tourisme

Rapa Nui Stargazing basé sur lîle de Pâques utilise Star Walk 2 Plus pour les observations du ciel pendant ses tours astronomiques.

Nakai Resorts Group aux Maldives utilise Star Walk 2 Plus lors dévénements astronomiques.

NOUVEAUTÉS DANS STAR WALK 2

Un superbe nouveau design 
 Une nouvelle interface plus simple et plus claire avec des couleurs éclatantes pour affichage rétina 
 Des effets visuels et sonores atmosphériques, une bande sonore émouvante
 Des illustrations exclusives faites à la main pour les constellations, inspirées de lart minimal lowpoly 

Des modèles en 3D des corps célestes époustouflants
 Nébuleuses planétaires 
 Constellations 
 Planètes naines, comètes et astéroïdes 
 Satellites artificiels 

 Disponible en achat intégré. 

Fonctions

Mode nuit
Lorsquil vous arrive de vous trouver dans un endroit parfait pour observer les étoiles, loin des lumières de la ville et que vos yeux shabituent à lobscurité, un rouge pâle avec une protection spéciale fera toute la différence.

Machine à remonter le temps 
Il est plus simple dexpliquer un mouvement céleste à vos enfants, et peutêtre de mieux le comprendre, si vous accélérez le temps et le voyez par vousmême. 

Effets visuels extraordinaires 
Des illustrations dorigine dastronomes historiques aux incroyables modèles en 3D de célèbres nébuleuses de luniversité de technologie de Braunschweig, cette app représente le meilleur bonheur spatial pour les yeux qui puisse exister. 

Observation des étoiles Pro 
Les filtres aux rayonsX et 5 de plus pour étudier la structure invisible de lunivers, les données quotidiennes sur les heures dascension et de déclinaison des planètes, les phases de la lune, le suivi en direct de plus de 8 000 satellites, ainsi que les articles approfondis vont satisfaire les esprits inquisitifs les plus curieux.

 Stars Soleil, Sirius, Canopus, Alpha Centauri, Arcturus, Vega, Capella, Rigel, Spica, Castor.
 Planètes Mercure, Vénus, Mars, Jupiter, Saturne, Uranus, Neptune, Pluton.
 Lunes Phobos, Deimos, Callisto, Ganymède, Europe, Io, Hyperion, Iapetus, Titan, Rhéa, Dioné, Téthys.
 Planètes naines et astéroïdes Ceres, Makemake, Haumea, Sedna, Eris, Eros
 Comètes HaleBopp, Borrelly, Halley Comet, IkeyaZhang
 Pluies de météores Perséides, Lyrides, Aquarides, Géminides, Ursides, etc.
 Constellations Andromeda, Verseau, Bélier, Cancer, Capricorne, Cassiopeia, Lion, Balance, Poissons, Sagittaire, Scorpius, Ursa Major, etc.
 Missions et satellites artificiels Curiosité, Luna 17, Apollo 11, Apollo 17, SEASAT, ERBS, ISS Station spatiale internationale, Hubble télescope spatial

Cette fonctionnalité Star Spotter est disponible pour les appareils avec boussole numérique. Si votre appareil ne dispose pas de boussole numérique, utilisez vos doigts pour changer la vue de la carte du ciel."
BeeSpeaker Apprendre langlais,BeeSpeaker AB,4.7,1000000,Enseignement,"BzZzZz ! Rejoignez notre ruche et commencez à parler couramment une langue étrangère. Apprendre  langlais et  lespagnol na jamais été aussi simple !

BeeSpeaker est une véritable révolution et la première appli dédiée à lapprentissage de langlais et de lespagnol  Lappli permet de parler dès le premier jour. Au cours de la première semaine, nos utilisateurs disent jusquà 1 000 mots dans la langue quils apprennent 

Comment ? 
Il sagit dune appli à commande vocale et intelligence artificielle, basée sur une technologie moderne dapprentissage automatique, où vous devez écouter des mots et des phrases et répéter ou répondre à des questions, en parlant à voix haute en langue étrangère. BeeSpeaker reconnaît ce que vous dites et vous donne un retour instantané. De cette façon, vous savez où vous faites des erreurs et où vous devez vous améliorer.

Pourquoi BeeSpeaker ?
  de 2 000 cours vidéo danglais et despagnol avec nos professeurs et natifs conçus pour améliorer vos compétences orales.
 Tous les cours de langue sont adaptés à votre niveau  de A0 à C1.
 Un puissant module AI Tutor qui corrige vos erreurs et vous permet de converser librement.
 Accent sur le vocabulaire, la grammaire, la prononciation et les compétences découte.
 Les commentaires en temps réel vous montrent où vous faites des erreurs.
 Le suivi des progrès, les points et les séries vous aident à rester motivé et à vous amuser !

Marre des applications de vocabulaire anglais ? Vous vous sentez bloqué lorsque vous essayez de communiquer en anglais ?

Nous nous concentrons sur une méthode naturelle dapprentissage dune langue. Au lieu de mémoriser des mots, des règles de grammaire ou de lire des flashcards, vous apprenez en écoutant et en répétant en anglais ou en espagnol et en pratiquant des conversations réelles. Nos leçons interactives vous aident à écouter, à répéter et à corriger vos erreurs instantanément, renforçant ainsi votre confiance à chaque fois que vous parlez. Débutant ou avancé, nous avons des cours adaptés à tous les niveaux !

 Comment différentes personnes utilisent BeeSpeaker ?
 Les débutants apprennent langlais ou lespagnol de zéro, avec nos cours vidéo adaptés aux niveaux A0 et A1
 Les apprenants intermédiaires enrichissent leur vocabulaire et progressent vers des niveaux supérieurs grâce à notre cours vidéo et en sexerçant à parler avec lenseignant AI de BeeSpeaker
 Les apprenants avancés pratiquent la prononciation et lexpression orale avec AI Tutor pour se préparer aux examens danglais populaires, comme le FCE, le TOEFL, lIELTS ou le TOEIC
 Et pour les plus avancés, nous venons dajouter un cours danglais C1 pour que vous puissiez le maîtriser à la perfection

 Nos instructeurs
 Des professeurs expérimentés et natifs de pays comme la  GrandeBretagne, les  ÉtatsUnis et  lAustralie.
 Grâce à eux, vous apprendrez différents accents et façons de prononcer certains mots.

 AI Tutor
 AI Tutor de BeeSpeaker est votre coach personnel danglais et despagnol alimenté par lintelligence artificielle, disponible 24h24, 7j7.
 Il vous permet de vous entraîner à des conversations libres et dadapter vos réponses à ce que vous dites, comme dans la vraie vie. Mais sans jugement ni stress.

Lapplication propose un essai gratuit de 7 jours pendant lequel vous pouvez tester toutes les fonctionnalités. Annulez lessai à tout moment. Et lorsque vous êtes prêt, vous pouvez débloquer toutes les fonctionnalités avec notre abonnement PRO.

Libérezvous de langoisse de parler, gagnez en confiance et parlez anglais et espagnol naturellement ! Plus vous pratiquez avec BeeSpeaker, plus vite vous progresserez. Prêt à commencer à parler couramment ? Laissez BeeSpeaker être votre guide.

Téléchargez maintenant et rejoignez la révolution linguistique !"
Moodle,Moodle Pty Ltd.,4.5,10000000,Enseignement,"This official app will ONLY work with Moodle sites that have been set up to allow it.  Please talk to your site administrator if you have any problems connecting.

If your site has been configured correctly, you can use this app to

 Browse the content of your courses, even when offline
 Receive instant notifications of messages and other events
 Quickly find and contact other people in your courses
 Upload images, audio, videos and other files from your mobile device
 View your course grades
 and more!

Please see httpdocs.moodle.orgenMobile_app for all the latest information.

Wed really appreciate your feedback on what else you want this app to do!

The app requires the following permissions

 Record audio For recording audio to upload to your site as part of a submission
 Read and modify the contents of your SD card Contents are downloaded to the SD Card so you can see them offline
 Network access To be able to connect with your site and check if you are connected or not to switch to offline mode
 Run at startup So you receive local notifications even when the app is running in the background
 Prevent phone from sleeping So you can receive push notifications anytime"
